SITE_ID,LATITUDE,LONGITUDE,MAX_HEIGHT_M,SITE_NAME,STATUS
9010368,-33.890739,151.225557,20.0,"3GIS Remote End Site Bradman Stand SCG Driver Ave MOORE PARK",MATCHED
205743,-33.809975,151.156144,4.0,"Lane Cove Tunnel Epping Rd LANE COVE",MATCHED
9010500,-33.786899,151.103667,23.0,"3GIS Site 87 Abuklea Rd MARSFIELD",MATCHED
131870,-33.876018,151.216779,1.0,"Telstra Site Eastern Distributer North cnr Stanley & Palmer Sts DARLINGHURST",MATCHED
202831,-33.713034,151.146836,13.3,"Hutchison Site 290 Bobbin Head Rd NORTH TURRAMURRA",MATCHED
203484,-33.872628,151.206903,3.0,"Vodafone Site Town Hall Station George St SYDNEY",MATCHED
9004283,-33.978309,150.849907,31.7,"Denham Court",MATCHED
9004073,-34.06211,150.797467,11.0,"Blair Athol MARYFIELDS DR BLAIR ATHOL",MATCHED
9004326,-33.787429,151.027947,9.0,"Oatlands North",MATCHED
9004398,-34.579199,150.804006,36.8,"Croom CNR WOOLLYBUTT DRIVE & EW RTE ALBION PARK RAIL SOUTH",MATCHED
9001013,-34.080271,150.747589,25.0,"Mt Annan CMTS Off Glenlee Road SPRING FARM",MATCHED
9007524,-33.775568,151.262887,45.7,"Telstra Site Mount William St GORDON",MATCHED
9011458,-33.755248,151.263736,11.4,"Telstra Microcell 100 Beacon Hill Rd BEACON HILL",MATCHED
200468,-34.58319,150.823931,23.0,"Telstra CMTS Site SIGNAL HILL",MATCHED
205256,-33.846349,151.062074,4.0,"Homebush Stadium  Olympic Park HOMEBUSH BAY",MATCHED
204697,-33.780297,150.711832,31.0,"Orchard Hills Telstra Exchange The Northern Rd ORCHARD HILLS",MATCHED
205511,-33.703244,151.10306,30.0,"Hutchison Site Westfield Hornsby Muriel St HORNSBY",MATCHED
101180,-35.246308,149.154569,17.9,"Australian Catholic University 223 Antill Street WATSON",MATCHED
9001076,-35.34512,149.1348,24.5,"Telstra Mt Mugga Mugga Water Reservoir Hindmarsh Drive SYMONSTON",MATCHED
9002294,-35.174027,149.107991,15.2,"Ngunnawal Shopping Centre Yarrawonga St NGUNNAWAL",MATCHED
9002293,-35.38261,149.199601,25.0,"Jerrabomberra Circle Tompsit Dr SOUTH JERRABOMBERRA",MATCHED
9002292,-35.321479,149.115325,18.0,"Telstra",MATCHED
41428,-35.298383,149.130877,27.1,"National Science and Technology Centre King Edward Tce PARKES",MATCHED
9003078,-35.331477,149.025181,30.3,"Telstra Warragamba Av DUFFY",MATCHED
34655,-35.19894,149.055284,37.0,"Optus Site MT ROGERS",MATCHED
50389,-33.75446,151.05701,35.8,"Telstra Site opposite 10 Burns Rd S BEECRFOT",MATCHED
50506,-35.270225,149.13269,21.3,"Telstra Site 50-52 Mort St BRADDON",MATCHED
9002158,-35.198161,149.068811,22.2,"Mono Pole",MATCHED
9002149,-35.40534,149.12435,20.0,"Light Pole No 605814 North Fadden Reservoir Bugden Av FADDEN",MATCHED
9002160,-35.224287,149.038431,18.1,"Light Pole No 560152 Kingsford Smith Dr. LATHAM",MATCHED
9002159,-35.232147,149.057711,15.1,"Light Pole No 559053 Belconnen Coulter Dr. FLOREY",MATCHED
9002156,-35.217946,149.007678,15.9,"Light Pole No 569503 Southern Cross Dr & Spofforth St MACGREGOR",MATCHED
205861,-35.363414,149.03803,19.0,"Optus Site Water Reservoir Guiness Place CHAPMAN",MATCHED
9002153,-35.361667,149.084311,17.8,"Light Pole No 331426 Kemsley Pl PEARCE",MATCHED
50510,-35.35099,149.21711,17.0,"Telstra Site 91 Crest Rd QUEANBEYAN",MATCHED
54223,-35.46904,149.0892,20.5,"Telstra Lanyon Exch Knoke Avenue GORDON",MATCHED
133303,-35.34213,149.246134,20.0,"Telstra Site 15 Silva Ave LARMER",MATCHED
204291,-35.389657,149.173458,25.0,"Telstra/Optus Site 9 Johns Pl HUME",MATCHED
54226,-35.240693,149.025635,25.6,"Telstra Site 1383 Drake Brockman Drive HIGGINS",MATCHED
131880,-35.248938,149.102449,50.0,"Telstra CDMA Bruce Stadium BRUCE",MATCHED
133462,-35.248508,149.072757,16.8,"Telstra Exchange Blk 1 Hennessy St BELCONNEN",MATCHED
101392,-35.253296,149.079317,22.0,"Telstra/Optus Site Aranda District Playing Fields Banambila St ARANDA",MATCHED
